사업자번호,address,industry,ind_rank,payroll,new_payroll,employee,employment,resignation,cmp_years
1148712922,"서울 관악구 낙성대로 38, 407호",의학 및 약학 연구개발업,,,,,,,
1148713329,"경기 김포시 고촌읍 아라육로58번길 35-21, 6층",의약품 도매업,,,,,,,
1148713391,"서울 성동구 연무장7길 11, 5층",경영 컨설팅업,,,,,,,
1148713732,"서울 강남구 영동대로85길 34, 대치2차아이파크(오피스) 15층-6호",(L68112)비주거용 건물 임대업,6,"~ 4,000만원 미만","~ 4,000만원 미만",-,66.67 % (2                                            명),100.00 % (3                                            명),9 년
1148713917,"서울 영등포구 여의대로 108, 31층",(J63991)데이터베이스 및 온라인정보 제공업,5,"4,000만원 이상 ~ 6,000만원 미만","~ 4,000만원 미만",40명 이상 ~ 70명 미만,81.58 % (31                                            명),44.74 % (17                                            명),9 년
1148714124,"서울 강남구 논현로163길 10, 4층",(M71531)경영 컨설팅업,6,,,,,,
1148714712,경기 용인시 처인구 백암면 고안로 116,(C14112)여자용 겉옷 제조업,5,"4,000만원 이상 ~ 6,000만원 미만","~ 4,000만원 미만",40명 이상 ~ 70명 미만,0.00 % (0                                            명),5.00 % (1                                            명),8 년
1148714895,서울 서초구 효령로46길 97,(G46521)가전제품 및 부품 도매업,6,"~ 4,000만원 미만","~ 4,000만원 미만",100명 이상 ~ 200명 미만,13.22 % (23                                            명),29.89 % (52                                            명),8 년
1148715332,서울 종로구 계동길 59-6,(L68221)부동산 중개 및 대리업,6,,,,,,
1148715370,"서울 강남구 학동로31길 12, A동 7층 714호",(M71310)광고 대행업,4,"~ 4,000만원 미만","~ 4,000만원 미만",-,0.00 % (0                                            명),0.00 % (0                                            명),8 년
1148715763,"서울 서초구 방배천로18길 6, 7층",(L68121)주거용 건물 개발 및 공급업,6,"~ 4,000만원 미만","~ 4,000만원 미만",1명 이상 ~ 20명 미만,0.00 % (3                                            명),0.00 % (1                                            명),8 년
1148715915,"경기 용인시 기흥구 구갈로 25-1, 3층",(L68119)기타 부동산 임대업,6,,,,,,
1148716312,서울 서초구 방배로 162,(L68112)비주거용 건물 임대업,6,"~ 4,000만원 미만","~ 4,000만원 미만",1명 이상 ~ 20명 미만,66.67 % (2                                            명),33.33 % (1                                            명),8 년
1148716404,"서울 강남구 언주로 630, 401호",(L68221)부동산 중개 및 대리업,6,,,,,,
1148717325,"서울 강남구 테헤란로 407, 5층",(P85631)외국어학원,6,"~ 4,000만원 미만","~ 4,000만원 미만",200명 이상 ~ 400명 미만,50.85 % (60                                            명),48.31 % (57                                            명),8 년
1148717441,서울 관악구 남현1가길 22,"(F42412)도배, 실내장식 및 내장 목공사업",7,"~ 4,000만원 미만","~ 4,000만원 미만",1명 이상 ~ 20명 미만,25.00 % (2                                            명),37.50 % (3                                            명),8 년
1148717607,"서울 구로구 디지털로 288, 1212호",(J58222)응용 소프트웨어 개발 및 공급업,5,"~ 4,000만원 미만","~ 4,000만원 미만",-,0.00 % (0                                            명),0.00 % (0                                            명),8 년
1148717984,"서울 서초구 강남대로 557, 13층",(F42311)일반전기 공사업,7,"~ 4,000만원 미만","~ 4,000만원 미만",1명 이상 ~ 20명 미만,58.33 % (7                                            명),133.33 % (16                                            명),8 년
1148718514,"서울 서초구 방배중앙로27길 2, 2호",(G47312)통신기기 소매업,6,,,,,,
1148719376,경기 남양주시 오남읍 진건오남로667번길 64-33,(S96995)애완동물 장묘 및 보호 서비스업,4,"~ 4,000만원 미만","~ 4,000만원 미만",1명 이상 ~ 20명 미만,43.48 % (10                                            명),47.83 % (11                                            명),8 년
