날짜,KOSPI,건설업,의약품,철강금속,증권,금융업,기계,화학,서비스업,전기전자,운수장비,유통업,음식료품
20220616,245141,0.7363104523834703,0.3938384506042498,0.6437175107403663,0.6397199310117577,0.5322666766434785,0.7679189150006294,0.3971264757340963,0.40325973175217983,0.384768923418509,0.4913376975933452,0.5152212485768648,0.5026008095545071
20220615,244738,0.7807040438952568,0.44171983054918784,0.6326009207156857,0.6768217564832434,0.5425876579756592,0.7706334226088125,0.4138635025683769,0.4176814481042464,0.4054753684377681,0.5157303961874833,0.5558418582611329,0.5118408176493356
20220614,249297,0.7583085780006653,0.38482532131845515,0.6380071592912715,0.6326888125130624,0.4917138698338279,0.7768428078795093,0.3756508895661884,0.3703444131669738,0.32373459664606585,0.46991503986066574,0.47446605378434636,0.4670421345129738
20220613,250451,0.7481432631544533,0.35433991112244123,0.5973806046137857,0.5790366393955922,0.4409771069992643,0.7374724388279885,0.35762383498600847,0.34083599012457605,0.2707334725784569,0.439015661045449,0.48257471773761695,0.3510069704455496
20220610,259587,0.6806999438559795,0.31835504585261054,0.46867079842096504,0.5228939333254276,0.383903590172038,0.5280761868169717,0.3030922781005807,0.3178778848276477,0.19326257275906134,0.3583364260319688,0.39897614463073694,0.22772220508217877
20220609,262544,0.7229844514011647,0.3410642155468504,0.5073211583408537,0.5114831227189728,0.39903648508798284,0.563329965889821,0.28892876185685246,0.35520251578731515,0.1958340774081102,0.3436901209360894,0.4322804977381782,0.24301811533637263
20220608,262615,0.759424208716545,0.3294118064573319,0.5028275281839025,0.4896429130821459,0.44279560558062503,0.6442378364561594,0.2559573333745664,0.35079719819693717,0.14970839288492388,0.3217723236350032,0.4861294796164648,0.21561326918507762
20220607,262634,0.7681977139393132,0.34387245903553487,0.5365458404052343,0.4809246306257283,0.40666496696554333,0.6778856948150533,0.2093289762883488,0.3447517277587117,0.16521909790160327,0.29968806819509686,0.42759855601000263,0.18095329888996137
20220603,267065,0.7037927668534409,0.3260729286582855,0.47726851596947006,0.430108970884835,0.36008691717851216,0.5169184142968986,0.17601914907798455,0.32509136710431724,0.12977566239366078,0.24899287472288334,0.383899544299648,0.12123648231104234
20220602,265899,0.72029931890801,0.36246833864693606,0.4778389785498953,0.45111268542522953,0.3835515737518618,0.5556174990558689,0.19007407810619315,0.33462237703739467,0.1631587983377607,0.2872034396021883,0.44733892325573654,0.1613905985178148
20220531,268590,0.689633973147177,0.33811220171213807,0.45189698322537786,0.47917008931461347,0.38397946562593344,0.49058172278824186,0.21124067139936187,0.353586556192744,0.18320731880166607,0.2720971736720199,0.407477264600415,0.18613311808330257
20220530,266966,0.6936208266492898,0.38105264426346785,0.4770749019716116,0.49600691457109425,0.4108368460515548,0.5662395171871206,0.21279526072317556,0.36190041483248564,0.1827669895807733,0.2879302076923538,0.4336756186821522,0.19822181506452097
20220527,263805,0.6837507152672126,0.3873435365290585,0.4839033825917627,0.4990142598320645,0.4233803391549773,0.5944997535507004,0.2347970373698366,0.35710379104903506,0.19317749706358645,0.28549291091792917,0.44697346008635286,0.23568363952326843
20220526,261245,0.7261717085388308,0.3936551187926962,0.5319589736680344,0.514554120281847,0.45787350830042794,0.6817275783007632,0.2584017156976752,0.3615250339171165,0.21753028211202508,0.34388705151789556,0.4870662237213028,0.2590404880192496
20220525,261722,0.7333158707181484,0.40545671715201825,0.567960291581356,0.5182981263160505,0.4691498079762517,0.6578648505488207,0.2624729921791418,0.3717977293116977,0.23510182064124185,0.3607188930165599,0.4897298225229547,0.28460792410207914
20220524,260587,0.7391469190052824,0.39573543820282064,0.5901850218771099,0.5064873055974818,0.48873045481063637,0.7083497541940136,0.2817255491919546,0.3641323292818001,0.25357604602366735,0.3654333618074319,0.4871532728940764,0.32492466166907885
20220523,264738,0.730258375531246,0.36288819954807083,0.5636691721981313,0.4904966031061587,0.45126143396466656,0.627529630530975,0.2628461849678203,0.3465991813518368,0.24513825889322316,0.33331079958747667,0.45477434245951853,0.2849352636885669
20220520,263929,0.7450718646810133,0.3703805824925912,0.5700051582481858,0.4942643882167129,0.4705568581897175,0.6698160581231343,0.2520010304586462,0.34094049634214857,0.23534380233802255,0.35303212296315256,0.4256942031730291,0.3134662639205379
20220519,259234,0.7330501636215196,0.40630214057828473,0.6090258142630354,0.5210773859397185,0.5279082023379007,0.6077507346054332,0.28172628015880485,0.3628268773212398,0.28075775983422857,0.3918426390171532,0.4679576544640298,0.3556502549086744
20220518,262598,0.719070437672489,0.4105983940228284,0.5433525062216011,0.5152030881511555,0.4814070858772017,0.5574553305110501,0.27332706251074423,0.35713701850475804,0.2956064836394787,0.37692642947300614,0.4387542360573642,0.339073367726515
20220517,262044,0.7318321786732613,0.3915845714990036,0.5713653366817317,0.5216197952251534,0.5018216924366465,0.5678959420056597,0.27861997999418686,0.3654079293197113,0.35280561138059174,0.38416725492563275,0.4603614574987671,0.3292112142518966
20220516,259658,0.7441942529685894,0.39118515912886487,0.578355712577578,0.5389230173744032,0.5122232452398265,0.5676185627923904,0.30406502597642104,0.37122095625594626,0.3461574642917924,0.390589635672679,0.5136006854633384,0.3671167076696218
20220513,260424,0.724275888232546,0.3872856503764972,0.6046111395682288,0.5480622923142612,0.5300598905813734,0.5856483841348141,0.30981957306900987,0.38758134626331314,0.33992721587821895,0.3853891816507735,0.5200223262619468,0.42231753854238896
20220512,255008,0.7419041478351907,0.41681896122270956,0.6442432361321992,0.5678324904075073,0.5557749062621065,0.6347799821307012,0.3397501628749239,0.4089972398455281,0.39642691250683115,0.4446733021331728,0.5735030173674653,0.4822002368403182
